,MW,LogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAtoms,NumHeavyAtoms,NumBonds,NumRings
CC[NH+](CC)C1CCC([NH2+]C2CC2)(C(=O)[O-])C1,241.19105446009,-2.321899999999994,61.18000000000001,2,2,6,17,17,18,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x0000020874E31D40>"
Cn1cncc1C[NH2+]CC(c1ccccc1)N1CCCC1,285.20737322009,1.3205999999999996,37.67,3,1,6,21,21,23,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x0000020874E31CC0>"
CC1CCCC2(COCC[NH2+]2)C1,170.15394068009,0.5288999999999998,25.84,1,1,0,12,12,13,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x0000020874E31840>"
COCC(CNC(=O)c1ccc2c(c1)NC(=O)C2)OC,278.126657056,0.5723999999999998,76.66000000000001,4,2,6,20,20,21,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x0000020874E319C0>"
Cn1ncnc1C[NH+](C)C1CCN(CCc2ccccc2)C1,300.21827225209,0.14680000000000204,38.39,4,1,6,22,22,24,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x0000020874E318C0>"
Cn1ncc(c2ccc(CN3CC[NH2+]CC3)cc2)c1N,272.18697212409,0.048300000000001675,63.69,4,2,3,20,20,22,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7040>"
CCOc1cc(c2nc3ccccc3s2)ccc1OCc1c(Cl)cccc1Cl,429.035705144,7.247800000000004,31.35,4,0,6,28,28,31,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7940>"
COc1cccc(c2cccc(F)c2C(=O)[O-])c1,245.06194597991,1.8647999999999996,49.36,3,0,3,18,18,19,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7640>"
CC1(CNC(=O)N2CCC(C)(C)S(=O)(=O)CC2)CCCc2ccccc21,378.19771382,2.8893000000000013,66.48,3,1,2,26,26,28,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7D40>"
COc1ccc2nc(NC(=O)Nc3cnccn3)sc2c1,301.063345592,2.7389,89.03,6,2,3,21,21,23,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E70C0>"
CCC(C)N(C)C(=O)C1(c2ccc(N)cc2)CC1,246.173213324,2.5573000000000006,46.33,2,1,4,18,18,19,"<rdkit.rdBase._vectclass std::vector<int,class std::allocator<int> > object at 0x00000208783E7540>"
